"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-11","16.33",",,W","0.36",",,W,2400","0.0",",,W","0.0",",,W,2400","56","H,,S","59",",,W","23",",,W","  220",",,W","  190",",,W","28.0",",,W","36.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-12","19.91",",,W","0.00","T,,W,2400","0.0","T,,W","0.0",",,W,2400","23","H,,S","23",",,W","14",",,W","  360",",,W","   10",",,W","29.1",",,W","36.9",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-13","9.84",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","13","H,,S","16",",,W","6",",,W","  340",",,W","  340",",,W","23.0",",,W","27.1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-14","9.40",",,W","0.08",",,W,2400","0.8",",,W","0.0",",,W,2400","12","H,,S","21",",,W","5",",,W","  160",",,W","  170",",,W","21.9",",,W","29.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-15","10.96",",,W","0.14",",,W,2400","2.3",",,W","2.0",",,W,2400","19","H,,S","24",",,W","10",",,W","  170",",,W","  170",",,W","17.0",",,W","21.9",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-16","11.86",",,W","0.01",",,W,2400","0.6",",,W","3.1",",,W,2400","15","H,,S","26",",,W","9",",,W","  330",",,W","  320",",,W","18.1",",,W","21.9",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-17","12.30",",,W","0.00",",,W,2400","0.0",",,W","3.1",",,W,2400","13","H,,S","20",",,W","4",",,W","  240",",,W","  240",",,W","25.1",",,W","32.0",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-18","14.99",",,W","0.00",",,W,2400","0.0",",,W","2.0",",,W,2400","21","H,,S","32",",,W","16",",,W","  220",",,W","  240",",,W","21.9",",,W","28.0",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-19","16.78",",,W","0.00",",,W,2400","0.0",",,W","2.0",",,W,2400","32","H,,S","40",",,W","28",",,W","  210",",,W","  230",",,W","25.9",",,W","34.0",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-20","8.28",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","39","H,,S","45",",,W","32",",,W","  220",",,W","  220",",,W","15.0",",,W","21.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-21","3.80",",,W","0.00","T,,W,2400","0.0",",,W","0.0",",,W,2400","40","H,,S","44",",,W","36",",,W","  120",",,W","  180",",,W","8.1",",,W","11.0",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-22","12.53",",,W","0.81",",,W,2400","0.0",",,W","0.0",",,W,2400","47","H,,S","54",",,W","38",",,W","  250",",,W","  250",",,W","23.9",",,W","35.1",",,W","    1",",,W","    1",",,W","    1",",,W",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-23","12.75",",,W","0.07",",,W,2400","0.5",",,W","0.0",",,W,2400","35","H,,S","39",",,W","28",",,W","  320",",,W","  320",",,W","21.0",",,W","28.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-24","6.49",",,W","0.02",",,W,2400","0.3",",,W","1.2",",,W,2400","29","H,,S","30",",,W","27",",,W","  340",",,W","  260",",,W","13.0",",,W","16.1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-25","9.62",",,W","0.00",",,W,2400","0.0",",,W","1.2",",,W,2400","31","H,,S","43",",,W","24",",,W","  170",",,W","  170",",,W","19.9",",,W","21.9",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-26","18.57",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","41","H,,S","51",",,W","33",",,W","  200",",,W","  180",",,W","32.0",",,W","40.9",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-27","12.30",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","47","H,,S","50",",,W","36",",,W","  210",",,W","  210",",,W","31.1",",,W","42.1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-28","8.72",",,W","0.01",",,W,2400","0.0","T,,W","0.0",",,W,2400","35","H,,S","40",",,W","28",",,W","   20",",,W","   20",",,W","18.1",",,W","23.0",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-29","12.08",",,W","0.00","T,,W,2400","0.0","T,,W","0.0",",,W,2400","27","H,,S","30",",,W","17",",,W","  350",",,W","  350",",,W","21.0",",,W","25.9",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-30","10.51",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","21","H,,S","31",",,W","15",",,W","  170",",,W","  170",",,W","25.9",",,W","34.0",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-01-31","13.87",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","35","H,,S","42",",,W","31",",,W","  190",",,W","  180",",,W","25.1",",,W","34.0",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-01","15.43",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","28","H,,S","35",",,W","8",",,W","  310",",,W","  320",",,W","25.9",",,W","34.0",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-02","10.29",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","11","H,,S","22",",,W","5",",,W","  220",",,W","  220",",,W","17.0",",,W","21.9",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-03","13.20",",,W","0.03",",,W,2400","0.8",",,W","0.0",",,W,2400","26","H,,S","41",",,W","22",",,W","  220",",,W","  230",",,W","28.0",",,W","36.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-04","13.42",",,W","0.08",",,W,2400","1.1",",,W","1.2",",,W,2400","26","H,,S","35",",,W","4",",,W","  340",",,W","  350",",,W","23.9",",,W","31.1",",,W","    1",",,W",,,,,,,,,,,,,"    1",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-05","6.93",",,W","0.22",",,W,2400","2.2",",,W","2.0",",,W,2400","6","H,,S","12",",,W","-3",",,W","  220",",,W","  250",",,W","14.1",",,W","18.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-06","5.37",",,W","0.02",",,W,2400","0.2",",,W","3.9",",,W,2400","12","H,,S","21",",,W","3",",,W","  340",",,W","  290",",,W","12.1",",,W","15.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-07","9.40",",,W","0.11",",,W,2400","1.7",",,W","3.9",",,W,2400","17","H,,S","20",",,W","8",",,W","  290",",,W","  290",",,W","17.0",",,W","21.9",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-08","6.93",",,W","0.15",",,W,2400","1.6",",,W","3.9",",,W,2400","13","H,,S","21",",,W","7",",,W","  240",",,W","  250",",,W","13.0",",,W","16.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-09","10.74",",,W","0.57",",,W,2400","6.2",",,W","7.9",",,W,2400","24","H,,S","28",",,W","18",",,W","   20",",,W","   30",",,W","21.0",",,W","25.1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W","    1",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-10","9.62",",,W","0.05",",,W,2400","0.8",",,W","9.8",",,W,2400","19","H,,S","22",",,W","14",",,W","  350",",,W","  350",",,W","17.0",",,W","21.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-11","10.07",",,W","0.39",",,W,2400","3.7",",,W","11.8",",,W,2400","20","H,,S","22",",,W","11",",,W","  340",",,W","  340",",,W","16.1",",,W","19.9",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-12","6.26",",,W","0.00",",,W,2400","0.0",",,W","11.8",",,W,2400","15","H,,S","27",",,W","4",",,W","  340",",,W","  340",",,W","13.0",",,W","15.0",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-13","6.26",",,W","0.00",",,W,2400","0.0",",,W","11.0",",,W,2400","20","H,,S","35",",,W","7",",,W","  180",",,W","  190",",,W","14.1",",,W","16.1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-14","9.62",",,W","0.00","T,,W,2400","0.0",",,W","9.8",",,W,2400","32","H,,S","44",",,W","24",",,W","  220",",,W","  220",",,W","16.1",",,W","21.0",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-15","6.26",",,W","0.00","T,,W,2400","0.0",",,W","3.9",",,W,2400","41","H,,S","48",",,W","38",",,W","   40",",,W","  350",",,W","15.0",",,W","19.0",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-16","10.07",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","36","H,,S","37",",,W","20",",,W","  340",",,W","  340",",,W","19.9",",,W","27.1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-17","8.50",",,W","0.11",",,W,2400","2.0",",,W","0.0",",,W,2400","25","H,,S","35",",,W","17",",,W","  270",",,W","  280",",,W","17.0",",,W","23.0",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-18","10.74",",,W","0.02",",,W,2400","0.0",",,W","2.0",",,W,2400","27","H,,S","41",",,W","12",",,W","  150",",,W","  180",",,W","21.0",",,W","25.9",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-19","12.08",",,W","0.52",",,W,2400","0.0",",,W","0.0",",,W,2400","42","H,,S","60",",,W","37",",,W","  200",",,W","  210",",,W","23.9",",,W","33.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-20","13.20",",,W","2.10",",,W,2400","0.0",",,W","0.0",",,W,2400","59","H,,S","66",",,W","34",",,W","  190",",,W","  200",",,W","25.1",",,W","33.1",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-21","10.96",",,W","0.04",",,W,2400","0.0","T,,W","0.0",",,W,2400","32","H,,S","34",",,W","27",",,W","  330",",,W","  320",",,W","18.1",",,W","21.9",",,W",,,,,,,"    1",",,W",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-22","13.20",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","33","H,,S","40",",,W","29",",,W","  120",",,W","  110",",,W","21.9",",,W","25.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-23","9.40",",,W","0.06",",,W,2400","0.0",",,W","0.0",",,W,2400","40","H,,S","44",",,W","33",",,W","  270",",,W","  260",",,W","19.9",",,W","27.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-24","13.20",",,W","0.16",",,W,2400","0.0",",,W","0.0",",,W,2400","36","H,,S","50",",,W","33",",,W","  120",",,W","  110",",,W","25.1",",,W","33.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-25","17.90",",,W","0.01",",,W,2400","0.0",",,W","0.0",",,W,2400","40","H,,S","50",",,W","34",",,W","  260",",,W","  270",",,W","32.0",",,W","46.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-26","8.72",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","40","H,,S","53",",,W","28",",,W","  230",",,W","  220",",,W","21.0",",,W","29.1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-27","13.87",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","48","H,,S","62",",,W","39",",,W","  200",",,W","  190",",,W","23.0",",,W","30.0",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-02-28","11.18",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","51","H,,S","59",",,W","37",",,W","   20",",,W","   40",",,W","19.9",",,W","25.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-03-01","14.54",",,W","0.81",",,W,2400","0.0",",,W","0.0",",,W,2400","39","H,,S","46",",,W","34",",,W","   10",",,W","   10",",,W","25.1",",,W","33.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-03-02","6.26",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","38","H,,S","48",",,W","30",",,W","  100",",,W","  100",",,W","13.0",",,W","15.0",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-03-03","7.83",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","38","H,,S","43",",,W","33",",,W","   70",",,W","  100",",,W","15.0",",,W","18.1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-03-04","12.30",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","38","H,,S","46",",,W","32",",,W","  120",",,W","  120",",,W","21.9",",,W","28.0",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-03-05","17.45",",,W","0.11",",,W,2400","0.4",",,W","0.0",",,W,2400","37","H,,S","40",",,W","33",",,W","  110",",,W","  120",",,W","28.0",",,W","36.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-03-06","8.72",",,W","0.07",",,W,2400","0.0","T,,W","0.0",",,W,2400","35","H,,S","41",",,W","31",",,W","  330",",,W","  320",",,W","23.0",",,W","28.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-03-07","13.65",",,W","0.00","T,,W,2400","0.0","T,,W","0.0",",,W,2400","31","H,,S","34",",,W","25",",,W","  320",",,W","  330",",,W","21.9",",,W","28.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-03-08","11.18",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","28","H,,S","34",",,W","24",",,W","  330",",,W","  310",",,W","21.0",",,W","23.9",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-03-09","6.49",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","30","H,,S","41",",,W","23",",,W","  320",",,W","  320",",,W","14.1",",,W","21.0",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-03-10","5.59",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","33","H,,S","41",",,W","23",",,W","   90",",,W","  100",",,W","13.0",",,W","17.0",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-03-11","8.28",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","34","H,,S","40",",,W","28",",,W","   50",",,W","   70",",,W","18.1",",,W","21.9",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-03-12","11.41",",,W","0.00","T,,W,2400","0.0","T,,W","0.0",",,W,2400","37","H,,S","46",",,W","30",",,W","  340",",,W","  340",",,W","23.9",",,W","31.1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-03-13","10.74",",,W","0.22",",,W,2400","2.2",",,W","0.0",",,W,2400","32","H,,S","35",",,W","19",",,W","  360",",,W","  360",",,W","19.9",",,W","23.9",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-03-14","10.96",",,W","0.00",",,W,2400","0.0",",,W","1.2",",,W,2400","30","H,,S","48",",,W","22",",,W","  250",",,W","  250",",,W","25.9",",,W","32.0",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-03-15","9.17",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","40","H,,S","50",",,W","28",",,W","   30",",,W","  320",",,W","16.1",",,W","27.1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-03-16","10.96",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","32","H,,S","38",",,W","29",",,W","   30",",,W","   30",",,W","18.1",",,W","21.9",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-03-17","10.07",",,W","0.00","T,,W,2400","0.0","T,,W","0.0",",,W,2400","37","H,,S","46",",,W","30",",,W","   40",",,W","   50",",,W","19.9",",,W","23.9",",,W",,,,,,,"    1",",,W",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-03-18","4.70",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","40","H,,S","57",",,W","27",",,W","   40",",,W","  210",",,W","10.1",",,W","14.1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-03-19","15.21",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","41","H,,S","46",",,W","33",",,W","   30",",,W","   30",",,W","28.0",",,W","35.1",",,W",,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2018-03-20","17.00",",,W","0.00",",,W,2400","0.0",",,W","0.0",",,W,2400","33","H,,S","37",",,W","29",",,W","   10",",,W","   20",",,W","25.9",",,W","32.0",",,W",,,,,,,,,,,,,,,,
