User_Name,User_Location,Stars,Entry_Date,Entry_Quote,Entry_Content
theburg,"Hattiesburg, Mississippi",5,08/02/2018,Best way around Downtown,Got a bike at Navy Pier and wish I had found them earlier.  Lots of fun (on the quieter streets) and a great way to get from place to place without the slowness of walking.
honestly14,"Cleveland, Ohio",3,07/29/2018,PLEASE READ THIS FIRST if you have a large group,"Ok, I had 15 people in our group. You can only take 4 bikes out under one credit card. So you will have to use multiple credit cards if you have more than4 to rent.Also, use the divvy locator app to find stations close to where you are and how many bikes are there. So when you want to turn them back in you have to find a station with enough empty spots. Kind of a challenge with a large group. And we had problems at the first station because there were two defective bikes that we couldn’t release from the stand. I ended up calling the customer service line three times and visiting two stands before getting all the bikes. The touch screen at the kiosk was hard to use (screen couldn’t read our button pressing). And once you pay and get the code to release the bikes you only have 5 minutes before it expires. Some would take the code right away and some you had to enter several times before accepting. If you go past 5 minutes you have to re-dock all the bikes and start all over. AND if you plan on taking a nice leisurely bike ride on the Lakeshore Trail, forget about it. There are way too many people that apparently are training for the Tour de France or something because they are flying around at top speeds, yelling at you if you aren’t accommodating them. I had 13 year olds and even though it said you had to be 16, they were fine on these bikes. Easy to ride even though they are well-broken in at this point. Great idea and value but you may need lots of patience."
Leon B,"London, United Kingdom",2,07/27/2018,No good for overseas tourists,"My wife and I were looking forward to using the Divvy bikes along the lakeside in Chicago. I downloaded the Divvy App on my phone having first checked it would be possible to hire two bikes using the same debit card. We successfully secured the first bike however when I tried to unlock the second bike I was presented with a message saying I couldn’t have a bike at this time. After numerous attempts we tried to use the kiosk but the payment was rejected. I used three Visa cards including an American Express Card. All were rejected.Eventually, I called a number that we found on the App (the telephone number shown on the Kiosk was alpha numerical so would not work in my phone). I’m sorry to say the gentleman I spoke to after a very long wait was super dumb. I explained very clearly and on numerous occasions what I had done but he was unable to think of a solution other than putting the one bike we had successfully hired back into the docking station and starting all over again (I tried this without success). Eventually after 15 minutes I suggested we try a different docking station and rang off. The next docking station was manned by a young women. We explained our problem and she said she did not know why the app would not work for the second bike. She did however say that the kiosks do not accept cards issued from abroad. Can you believe it! When it comes to payment processing the US has always been behind other parts of the world (e.g. chip and pin).She kindly offered us the second bike free of charge. A good solution for now but not for later on in the day or on future days unless we bumped into her again. I have to assume hiring two bikes on one card cannot be done with an international card. We had a great time cycling on the lakeside. We cycled for many miles in a very safe (car free) and beautiful environment. Come on Chicago. We’re not all American you know. You should be trying harder to encourage more tourists to your beautiful city."
Double D,"Lee's Summit, Missouri",5,07/22/2018,Lakeshore ride,User friendly with easy access from place to place. We rented 4 bikes and did a mid morning ride along Lakeshore Drive in Chi Town. We were able to stop along the route to eat and socialize before returning the bikes. Great way to get around on a trip and there are various bike racks throughout the area if you need to end your ride or that a break and do something else. 
Katherine A,,2,07/19/2018,Not good,"I wanted to get a bike to ride to lunch on my break. I spent most of my break trying to unlock every single available bike and it wouldn’t release. I had already been charged and tried to call and email customer support and never heard back. I ended up having to uber (spending more money and time). Will not be trying ever again!!! It’s only $3 so it’s not a huge deal, it was more of an inconvenience for me. Also, I have done these bikes in other states and had no problem."
traveleravonlake,"Avon Lake, OH",3,06/26/2018,Customer Service,Be sure to push the bike in all the way when docking it. My husband rented the bike for 1 hour but we ended up getting charged $79.21. We are new to the whole bike sharing thing as it is not available where we live. When I called they offered 50% refund but I pushed a little harder. They said they would credit the whole amount. I told them to refund all but the 1 hour. I hope they mean what they said. Will wait to see if the credit comes through. Great way to get around Chicago but the payment/process seems hard to understand. Good customer service if credit comes through.
Carolinem064,"Pittsford, New York",5,06/17/2018,Loved these bikes! Easy and convenient!,"We loved these bikes and found them very easy to use. It was a very hot day and after attending a craft fair we didn’t want to walk any further. A bike ride along the lake seemed like a relief from the heat! On a whim we purchased the 24 hr pass! We were hooked! In those 24 hours we ended up seeing much more of the city than we intended! We rode to Lincoln Park, Wrigley Field, the Bean, Zoo, Navy Pier, Willis Tower, Field House, Art Institute, Soldier Field and several museums. The bike paths were easy to navigate, we saved on transportation and as a bonus had a mini workout!The paths were pretty level and the bikes have gears to help the small inclines we encountered. A few days later when we had to get to our boat ride at the pier, rather than taking an Uber or Lyft, it was easier to get another 24 hour pass. We were at our destination in 10 mins! After dinner and the boat ride we picked up some bikes and rode back to the hotel. The bonus being the next day we were able to enjoy the remaining time on our pass!There were bikes available at all locations, some of which had friendly staff on site to help. The bikes were sturdy and well maintained. There are plenty of spots to pick up and drop off!This made our trip and would recommend it for all ages. "
KClark901,"Detroit, Michigan",2,05/31/2018,Easy access but watch your time,"I'm rating this poor because I am frustrated with the payment system. We used the bikes on our stay in Chicago as a easy way to get around, which it was and they were great. BUT you have to watch your time! We docked our bikes less than 2 minutes ""over"" and were charged another 30 minutes. SO if you are going to use the bikes make sure you know your way around and where you will be docking them, otherwise you'll be paying them, and paying them, then paying them again!"
Robert G,"Bethesda, Maryland",4,05/27/2018,Wonderful Biking along Lake Michigan,"We were in Hyde Park to visit the University of Chicago and wanted to go Downtown for a day. Divvy Bikes made that possible without needing to take the CTA or the Metro or the South Shore Line, all possible alternatives. The day was beautiful and we were able to ride along the Lake Front from Hyde Park to the Art Institute. Once we crossed the outer drive at 55th street using the underpass, it was beautiful riding with no traffic lights and no cars. Time for an easy ride, about 35 minutes. Divvy Bikes was easy to use for a full 24 hour duration that allowed us to get on and off downtown as we pleased. We had a little trouble at two docking or parking spots where the codes did not work, but we managed to get it straight within a few minutes (by replacing the two bikes we took out and then starting over again for the three bikes that we needed. I recommend biking around Chicago from Hyde Park to downtown. Bring your own helmet."
JoeyBinChicago,"Chicago, IL",5,05/01/2018,New Fare Structure!,"First, please ignore the one star reviews that say ""it isn't clear I have to return the bike in 30 minutes"". It's right there on the machine when you dip your card in, so there' s no ""scam"" going on, just folks who don't take the time to read the instructions. The new fare structure has a $15 ""explorer pass"" which allows you to take the bike out for up to 3 hours without re-docking, There's also a $3 option for a single 30 minute ride. They keep adding more bikes and stations, so the system keeps getting better."
vacationaholic,Central Oregon,5,04/29/2018,What an easy way to see Chicago,"Got a Divvy bike across from the Hilton Chicago. Checked out their bike program first online, then hit the streets. $3/30 min with credit card. If bike is lost or stolen, then $1200 charge. Easy to find other Divvy racks to dock your bike. Make sure the green light is lit before you walk away from bike and check the area you want to bike to, to see if there is available dock for your bike. 3 speed bikes with baskets. Chicago isn't the most bike friendly town, so you'll be dodging peds. Overall, I really liked using this program for my visit to Chicago."
Lenore J,,5,01/21/2018,divvy bikes,it is grate to have if you are new to the city there are many places to doc themi rode around went shopping and did things i needed to do i have a bike butit needed air in the tires i said o well i will just rent a bike for a few days
fiona w,"Thornbury, United Kingdom",4,10/29/2017,Good concept but needs work,"Loved the concept of this! Being able to cycle from place to place and return your bike so no worrying about locking it to anything. This was great as visiting from the UK means we obviously couldn't bring our own bikes! The bikes were heavy but were easy to ride. I think we had 4 or 5 different bikes throughout the day, generally all were in good condition with the exception of the last one. Chicago by bike is a good way to go and this concept is brilliant.Bikes were hard to get out of the locks and also at times hard to put back in again!Would recommend using these though as made us be able to see alot more of the city on our short trip. "
BR_MikeD,"Baton Rouge, Louisiana",4,10/22/2017,"Fun way to get around, and get a some exercise too!!!","The $9.95 day pass is a good deal, but be prepared to switch bikes every half hour...not a second more. As a frustrated reviewer noted, you will be billed. However, quite fun to ride along the lake, get to the museums and the Navy Pier, Millenium Park, the Bean, etc. The instructions could be made easier for us folks getting up in years. Still a great way to see the lakefront."
269priyankap,"Scottsdale, Arizona",5,10/18/2017,Perfect way to experience Chicago's downtown,"They are so well organized, we took a 24Hour pass (Keep a watch on the clock because you have to return back to the stand every 30 mins unless you want to pay ofcourse- the app is amazing, it will guide you to the Divvy stand close to you)We were cycling around Downtown for close to 6 hours :) I think Chicago is soo pretty that driving around it would be an injustice. Stop at good spots, do not miss to capture the beautiful sunset. I am sure you will love it as much as I did :)"
frabjousfrank,"Seattle, Washington, United States",1,10/11/2017,Not For People Unfamiliar with Divvy's Deceptive Fee Structure,I got the $9.95 day pass. I was billed $102 because I either didn't see or understand their rental policy requiring you to check in your bicycle every 30 minutes. I had the bike for 22 hours. I had problems checking the bike out and when I called support they had to reboot the station software twice before I was able to check the bike out. During this frustrating period I didn't see any contractual obligations to check in the bike every 30 minutes.When I complained about the billing to customer service they reduced my fee by $50 which I found to be unacceptable. I disputed the charges with my credit card company and they honored my contention and in the end I was only charged $9.95.If you're unfamiliar with the Chicago Metro area Divvy's 30 minute check in requirement and the fallibility of their network may cost you more grief than the convenience of their bicycles.The bikes are 3 speed and are generally suitable for typical short recreational/commuter rides.Their fee structure and use policies need to be more clearly stated and printed on your receipt and at the rental kiosk.
marcelodO7773GX,"Jundiai, SP",5,10/09/2017,Amazing experience,enjoying Chicago on a bike is an incredible experience. I recommend this pleasure to everyone Aline or Friends
panama2000,"Providence, Rhode Island",5,10/03/2017,"Great value, great fun.","Many places rent bikes for $10/hour. Divvy is $10 for the day as long as you swap out the bikes every 30 minutes. It was easy to do. We picked up the bikes along the water from by millennium park. We biked south along the river, swapping out at McCormick Place. Then we went to the Museum of Science and Industry. After a few hours we took bikes from the station in front of the museum and cycled back, swapping out again at McCormick. It is a fantastic dedicated path,not near any cars and very well maintain"
Paulta2016,"Denver, Colorado",4,10/03/2017,Enjoy riding in Chicago,Chicago has some great trails to ride on and also see the sights Especially along the lake. These bikes are decent to get around. Mind you if you are avid rider you should rent a real road bike but these are truly just a bike. They are decently maintained but as one review said the fees can add up. I thought i was getting charged $10 for the day but ended up at $17. You really need to only go from docking point to docking point because they are only allotting you 30 minutes-at a time to ride before extra charges kick in. I know people in my home town that just go to the next docking point under the 30 minute time then take the same bike out and go to the next stop. Still would rent them again but you need to know how they charge.
katiek886,"Minneapolis, Minnesota",5,09/23/2017,Who'd have thought?,"Who would have thought that renting a little blue bike for 24 hours would have been so worth it? Between the giggles and the easy sightseeing, 100% worth the rental. We got around so easily and saw a lot of things that were on the list it was fabulous! Just do it."
JimboOttawa_Canada,"Ottawa, Canada",3,09/05/2017,Read Before Renting,"The Divvy Bikes look like a good option but there are pitfalls. The price is right, there is no doubt. And, the bikes are in good shape for the most part. But, be aware that the cost can escalate if you are not careful. The $9.95 will cover numerous rides of under 30 minutes for the full 24 hour period. However, that means you have to renew the bike in under 30 minutes at one of the stations. If you do not, there are additional charges. We had problems with finding a station within thirty minutes and, on one occasion, finding a station with empty slots to renew our bike. Make sure you choose your bike wisely before taking it out of the stall. A few have soft tires, many are greasy and some seats are better than others. You use your credit card to rent and renew the bikes. We used one card for 4 bikes. But, that required that we all stick together so we could renew our bikes. Of course, we didn't think of that so occasionally went our own way. That created problems since our daughters could not renew their bikes. The time penalties are cumulative and can become costly. We found the thirty minute renewal time was not adequate. So, it is your choice to try to stay within the thirty minute renewal or ignore that requirement and pay the price."
suzannev326,"Baarn, The Netherlands",5,08/31/2017,Highly recommended,"The Divvy Bike Sharing is a highly recommended way of getting around Chicago. Ten dollars buys you a 24 hour pass. You can grab a bike from any station, take a ride and return the bike to any of the 580 station within 30 minutes. Get a new code, grab another bike and be on your way again. Very convenient!"
996christym,"Waco, Texas",4,08/28/2017,Great fun,"These bikes are all over the park area and downtown. It is a great way to take advantage of a bike city without hauling a bike. One downfall is having to check in at a divvy station every 30 mins. Sometimes we went over. But the fee for going over isn't too ridiculous, so it was still a good bargain and great fun. Bikes are simple to operate and ride. Just watch out for the bike commuters. They are traveling with a purpose, frequently faster than motorized vehicles; they are not out for a leisurely ride. Give way to them. "
LorenzoelJefe,"Stratford, Canada",5,08/22/2017,The super fun approach to Chicago!,"Wing Commander had a DIVVY plan it it worked out ... TIP 1: Book 24 hours.TIP 2: North Side to Navy Pier, walk to Chicago River for Official Chicago Architectural Foundation Tour ... 7:30 PM is a charmer. Then return by  DIVVY under starlight and Chicago skyline all shined up.  Or some facsimile of the above itinerary ...AND you still have a morning ride along the Lakeshore in the opposite direction. TIP 3: We lost our code at 10 at night ... tap the screen, then reinsert credit card. Et voila a new pin will be printed for you. "
Amber K,"Tallahassee, Florida",5,08/15/2017,"Biking near ""beaches"" and outskirts of city is awesome","While riding the Ferris wheel on the Navy Pier, we decided to get the bikes and we went to the divvy website on our smartphones and got a $2 off coupon code. It's been a week and I have gotten no junk email from divvy, so that's good. For $10/day plus fees and tax, you get to use the bike for up to 30 min bike rides at a time at no extra cost. With the coupon code, my total was $10.50-something. Then there is a sliding scale for the length of your ride: 30-60 min is $2 extra, etc. but as long as you dock the bike at a station by 30min per ride you are not charged extra. Using the bikes for transportation along the boardwalk(?) on the water nearby the Navy Pier worked well for me, my teenage sister, adult sister and uncle. We had no extra charges for leasurely riding from Navy pier to Belmont. We were all thankful for the 3 gears that you can easily change on the right bike handle for going up and down the little inclines along the path. What a beautiful invigorating ride! The seats are adjustable and the ride is comfy. I don't usually ride a bike and my butt wasn't sore like it is after riding sometimes. I was able to strap my purse and water bottle on the front handlebars with the attached bungee-type cord and my belongings stayed secure."
Dianne K,"Auburn Hills, Michigan",1,08/08/2017,HORRIBLE SCAM.NEVER AGAIN,"DO NOT USE DIVVY BIKES. I swiped my card and agreed to a $39.98 payment for supposably a 24 HOUR RENTAL that we only ended up using for two hours!! This was not the case! Supposably you are suppose to ""check in"" every half hour, (which was not listed on the machine, nor was it listed in an email). Like I said, we used the bikes for TWO HOURS, THREE WEEKS AGO AND I JUST GOT CHARGED $170 TODAY. This is a scam for anyone and everyone that is not local and I'm sick to my stomach about it. When I called customer service I rudely got hung up on the first time, and the second call they told me they would refund half ($85) but only refunded me $65!!! I have a manager that is suppose to contact me in 24 hours so we will see how that goes. Had the instructions been more clear, we would've gladly paid the $6 additional for each bike for the additional 60 mins like its stated on the website. They had no right charging my card for a transaction I did not agree with unless the bikes were lost stolen or damaged!!! I filed a dispute with my bank, which I hardly doubt I will get my refund because visa has to take it to them to dispute and they are going to take that $170 that they literally pulled out of their butt, and say it's for a misc charge like they told me. I WILL NEVER USE THEM AGAIN AND I ADVISE ANYONE AND EVERYONE TO NEVER USE THEM AGAIN NEITHER!! IF I WANTED TO OAY $170 FOR PETAL BIKES I WOULD HAVE BOUGHT FOUR BIKES THAT WE COULD HAVE USED FOR MUCH LONGER THAN 2 HOURS!! What a scam. "
Chelsea W,"Scottsdale, Arizona",5,08/01/2017,Best way to see the city!,"This was the best decisiion that we made on our trip. It was amazing to see the city and have some fun. You get everywhere fast, you never have to wait on public transportation. I see that some people complain about the 30 minutes, but it was never a problem for us. We rode from the Feild Musuem to Lincoln park and made it within 30 minutes. You will have no trouble. If you use the app you can ask for an additional 15 minutes to find a spot to dock your bike. It really should be no problem. If they didn't have people lock up their bikes, they would end up leaving it outside of restaurants/ stores while they shop. If it got stolen then you would be charged $1,200 The only way to prevent this would be to have bike locks on the bikes themselves. Seems more complicated that way."
jowags11,"Indian Rocks Beach, Florida",1,07/31/2017,Beware- 30 minute limit or pay $$$,"We have rented bikes in Philly, DC, San Fran, etc and had a great time exploring. We rented in Chicago for 3-4 hours -- the total charge was well over $200 bc we didn't find a station to ""check in"" every 30 minutes (which would have been impossible riding along the lakefront). It's a horrible concept if you want to take a bike and explore .... They also do not make it clear when you rent the bikes -- we will not be using it again!"
Dean C,"White Lake, Michigan",3,07/31/2017,Use them all the time,"I use them every time I'm in town. If the weather is good they are better than a car. The only thing that drives me nuts is the 30 minute time limit. That is really an inconvenience. They are fairly well maintained, but of the 5 bikes I was on this weekend only 1 did not have some problem, although all were minor."
673randyf,"Pinckney, Michigan",5,07/30/2017,Great concept ,"This is the 1st time we used the bike system. We got around faster and saw the sights. I gave a 5 star rating but there are a few problems. We rode to the field museum, when we arrived the rack was 100% full. You must wait until more bikes are rented before returning yours. This took 10 minutes of waiting, who knows it could have been an hour. Then you must find a rack and return the bike every 30 minutes to avoid extra charges. Even so I will use them again."
muncysells,"New Lebanon, Ohio",2,07/28/2017,Slightly annoying ,Bikes were in great condition. While we enjoyed the experience of riding through Chicago-it was a pain in the tale to find a docking station every 30 minutes that had empty slots and to have to re-swipe a credit card for yet another access code.
734tracym,"Neenah, Wisconsin",3,07/27/2017,"Good concept, difficult in practice","We liked the idea of these bikes that we saw all over the city, though in practice they were a little harder to use. You can only use them for 30 minutes before you get charged a fee, and it is a challenge to get the bikes out, get on the path, and get them back to another station within 30 minutes. An hour would be much more appropriate. In addition, we had to search hard to find a station with enough bikes for our family at times. The app was very helpful in finding the bike stations. We will probably not use it again, because of the challenges and the short length of time, I do not feel we got our money's worth. But if you are traveling solo, and know exactly where you will return your bike, it may work better for you. For a family riding on the Lakefront trail, you would be better off to rent from one of the bike rental shops in Millenium Park or on Navy Pier. "
fins2left2,"Birmingham, Alabama",4,07/26/2017,"Great idea, but be prepared for overage charges","I enjoyed Divvy. The bikes were well-maintained and in mostly decent locations. However, there are several issues you should be aware of in advance. 1) The TRANSIT app is awful. It is difficult to locate the nearest Divvy stations -- so you can drive 10 minutes looking for one. They aren't accurate and the app crashes more than any other app I have had. AND-- even drivers couldn't tell us where they are located. Thankfully, one gave us 2 off the book bikes until we found another station!2) The time starts rolling as soon as you get your bike. In a few cases, we unlocked on, then it took 2-3 minutes to get the second out. That time counts against you.3) At night, the stations aren't lit, so we drove around for 45 minutes just looking for one! (hence an overage charge). The bikes are great and hopefully the app will get better with time. I would do it again, but now I know where they are all located."
Shane C,"Charlotte, North Carolina",5,07/24/2017,Worth the $10!,"We took full advantage of our 24 hour rental (noon-noon) -- we used it over two days since it starts your time once you purchase a pass. Although the 30 minute limit is a challenge/slight inconvenience it was peanuts compared to paying much more for full rentals. There are so many bike stations throughout the metro area it's nearly impossible not to pass by one to re-up the 30 minute slot. Made getting through the city a breeze and allowed us to make incredible time to see more than we thought we could! Not all roads have bike lanes but the sidewalks are oversized which made riding them there safe and not a nuisance to walkers. PRO TIP: the 30-minute time limit is their money maker. Avoid paying extra by downloading the Transit App from smartphone App Store and buying a pass for Divvy there. This allows you to immediately get your unlock codes on your phone. Best part -- you can re-dock your bike and IMMEDIATELY get it back (or a different one) for 30 MORE minutes without paying overage. Sounds like a hassle, but because of how many docks there are it is very easy. Without doing this you could end up paying $102 for a single day rental! "
FamilyOfFour91,"North Wales, Pennsylvania",3,07/20/2017,Not Necessarily for Tourists,"The $9.99 for an all-day pass caught our eye and my daughter and I decided to use the Divvy bikes to ride along the Lakefront Trail in Chicago. We got the first bike off the rack with no problem. We had issues with the codes provided for the second bike and it took us about 15 minutes to successfully unlock a bike. We ended up using the bikes for almost 5 hours. We loved Divvy bikes until we got home and saw a $156 charge on our credit card! I called Divvy only to discover that we did not understand how the all-day pass works. You need to use the bike in 30-minute intervals. You have to return the bike to a Divvy rack, located throughout the city, within 30 minutes of acquiring the bike! The pass gives you unlimited 30-minute intervals - maybe good for a Chicago commuter, but not ideal for a tourist. They were unwilling to negotiate the charge at first. After a threat to dispute the charge with my credit card company, Divvy agreed to a one-time 50% refund as a courtesy. Since the rental charge at another bike rental company would've been $40 per bike for all day, I was happy with this agreement. Be sure you understand the terms of the all-day bike pass!"
skokie5030,"Chicago, Illinois",3,07/19/2017,Getting the bike eats up limited time. No way to review charges,"The process for signing in and getting a code can be cumbersome and doesn't always work. When it works on the first try, its great. When it doesn't, it can take 10 min to get a bike. There is no way to review the charges. My cc charge was twice the $9.99 daily rate. I have no idea what the additional charges were for and have no way to dispute them. The instructions on the website are terrible. But when the bikes work, biking is great!"
