User_Name,User_Location,Stars,Entry_Date,Entry_Quote,Entry_Content
ehelas,"Ioannina, Greece",5,12/30/2018,The best way to see New York ,One of the best and cheaper ways to hang around New York. There are a lot of bicycles and a huge range of docks around the city. I think 30minutes rides are ok to go from one place to another.
tarnns8,"Brisbane, Australia",1,12/26/2018,Overcharged,"Been charged for 2 days rather than one and surprise, surprise the forms to lodge a complaint never open. Also charged another $4 on top of choosing the daily fee as we went over 30 min. What a scam."
Francesco A,,4,12/10/2018,Perfect way to enjoy NYC but be aware of extras,"We enjoyed Citibike a lot during three days in NY, we think it is the best way to visit Manhattan. Unfortunately, we were charged with extras while the extra time was indeed due to the impossibility of finding docks. We have asked to be refunded because it wasn't our fault, explaining the situation and giving our names and the names of overcrowded stations but the answer was somehow ignoring completely our issues."
SimonC14SRD,"Camberley, United Kingdom",5,12/09/2018,A brilliant way to see NYC ,"We always get citi bikes and now with the improved app and a network of cycle lanes seeing Manhattan has never been easier.  Simply down load the app, create an account and off you go.  Brilliant !"
Mark M,,5,11/20/2018,Sightseeing Brooklyn & Lower Manhattan,My first experience using this type of service. Found it easy to use and locations were everywhere we wanted to go. Simply loved the experience. Pedaled across the Brooklyn Bridge and explored lower Manhattan.
FWCritic,"Kelowna, Canada",5,11/11/2018,Completely Terrifying !!!! It was SOOO much fun though!!!,"I'm from Toronto originally, so biking in that city takes some getting used to but biking in a crazy city like NYC!?!?? You would either have to be diagnosed with a terminal disease and have only one day to live or have a death wish to die on 42nd and 8th ave if you decide to rent bikes in this city... my LORD!!! Everyone goes in every direction all the time, red lights mean nothing and everyone thinks honking at everyone will actually DO something. Well it doesn't.... The guy you're trying to teach a lesson to isnt getting it..... so get over yourself.We rented two bikes, and unfortunately this app will not let you rent two bikes at the same time.... so we had to use the app for one and the kiosk for the other..... so that is something they could change for sure.The bikes were in good condition, some better then others. The seats with the holes in them were less comfortable then the ones without. The basket in front had a strong bungee cord which held your stuff down pretty good.When we first got to the first station, we didn't know where to put the code..... your code will only have a 1 or 2 or 3 in it. And the key pad is on the left. The kiosk prints out a 5 digit code which after you enter it the light turns green.... HELPFUL TIP.... after it turns green, you have to lift up the bike a few inches so you can unlock it.... they don't tell you that anywhere either...... We didnt have any problems finding bike stations to pick up and drop off. The later in the day it gets however, certain stations around Time Square and Chelsea Market were clear out. I guess that's what the valet Service was for ? NOT sure....Helpful tip??? Try not to go over the 30 min time limit!!!!! IF you do, they charge $4 for EACH 15 min interval you run over. If you have to drop off and pick up right away, just wait to the two minutes to sign it out again. When docking your bike gently put the bike in and lift a few inches so it registers it and make sure the light turns green before you walk away.It's a cool way to see the city, I'm betting that I expended a LOT more calories then what they told you (that was a cool thing on the app) as my adrenalin was pretty high... I didn't know whether to laugh or cry at one point or another..... I would use this service again, it was a little less terrifying around Washington Square and in Greenwich Village, but midtown was not fun during rush hour..... yikes And good LORD buy and where a helmut!!!! "
RHINOTHOMAS,"Cape Town Central, South Africa",5,11/04/2018,Very efficient - nice way to see NY,Download the app and chose the option that works for your timing. One the one day pass ($12) you need to return the bike to the station after half an hour - not a problem as there are many stations. Good fun
DavidC9339,,5,10/31/2018,Sightseeing,Best way to get around Manhattan! Riding a bike from the Hudson to East River and crossing the Brooklyn Bridge is a must! Be careful not to ride over 30 minutes each time. Incan get a bit expensive.
Glex5000,"Tel Aviv, Israel",5,10/29/2018,"Efficient, technically well-maintained","Every tuime I get to the city I ride the Citibike- they're everywhere, it's quite straight forward, they're in a very good technical condition, there are endless number of stations, so you can always find one close to where you wanna go, and the support through the phone is quick and good. If you're here for 3 days, take the 3-day, and save $12. The 24-hour period is not calendar, but 24 hours from the minute you took them."
B3221GYlynnh,Port Coquitlam,3,10/09/2018,Be Aware of Extra Charges,"Recently returned from NYC and used Citi bike for our group of four tourists. While the initial process seemed very reasonable and easy, in actuality we had a few issues. 1. You have to ""dock"" your bike in every 30 minutes. This seems like a lot of time until you have trouble finding a docking station with room for your bike. For each 15 minutes in excess of the 30 minutes, there is an extra $4 charge which adds up if you can't find a space to dock your bike before you run out of time. You will have to ride to the next station, where the same problem may repeat. For example, our group was able to dock two bikes at one station, but there was no room for the extra two bikes so two of us rode to the next station. Then we had to walk between stations to meet up. 2. On our return trip we stopped to dock our bikes and found plenty of spaces which was good. Unfortunately, when we tried to release the bikes and continue, the card machine was not working and we could not unlock the bikes. Not to be deterred, we tried walking to the nearest Citi bike station...however, there was only one bike available there. We then walked to the next station and same problem, only two available bikes. At this point we gave up and called an Uber to take us back to our hotel. In the end, instead of an economical day of riding, we ended up with extra charges for the bikes and the cost of an Uber ride. Kind of a ripoff! On the plus side, the bikes were very comfortable to ride and in good shape. Not sure if we would use Citi bike again."
Infdaze,"New York City, New York",5,10/08/2018,Great Way to Get Around,"I use Citibike very frequently to get around for commuting and my daily life. This is a great way to go cross-town or avoid slow subway lines. Be a good rider and be aware of your surroundings, ride on the street and not the sidewalk, let people around you, and watch for people/vehicles on your sides. Be assertive for your safety and efficiency -- the safest place to bike is often in the middle of a lane, but move to the side when it is safe. Watch for people opening doors (especially from ubers/taxis) and taxi drivers moving to the curb to pick up hailers. Use the bell to alert others of your presence (including people jay-walking at crosswalks). The Citymapper app provides convenient directions for bike share."
Phyllis K,"New York City, New York",5,10/04/2018,Excellent Value and Mode of Commuting -NYC,I ride Citibike to and from work daily; the only negative is that sometimes there are not enough bikes when I start the trip; and I then walk a few extra blocks. This is still an amazing advantage over traveling by subways - for mental and physical health benefits. I suggest they add a few more bikes to their herd!
xbeatle,New York,2,09/29/2018,"Although I enjoy using the regular bikes, the ebike has been a major fail..","I visited the upper east side when they rolled out the e-bikes and have seen exactly 7 of them north of 72nd st.But wait, there's more..Each time I saw one, the red light was lit on the docking station..unusable..no explanation why the red light is always on when these things make their unicorn appearance.Someone's not doing their job and ruining the good will that Citibike initially earned.Don't over-hype something in NYC and not deliver on it fully..Just my opinion"
alexnadraf2017,"New York City, New York",3,09/29/2018,Great Concept ,"The concept of citi bikes is great! My business (dog walking) uses them for fast commuting from client to client. We use these bikes everyday, multiple time a day but as of late I feel the reliability and quality has gone down. Eight times out of ten there are either no bikes to be found or there are nothing but unusable bikes at stations. We were also so excited when they introduced the electric peddle assist bikes, but I almost feel like it’s a bad joke. Every time you find one at a station you are left disappointed to find that it is also red lighted and not in service. I feel they need to get a better system in place to keep high demand areas better stocked and keep good, usable bikes in service. Overall we like the service and will continue to use it, but would like to see it better maintained. "
TheSushiGuy,"Long Island, New York",4,09/25/2018,Cool Set Up,"I am very impressed with the Citi Bike operation. We were in Williamsburg, Brooklyn and saw quite a few of the stations. At 1am, we were dropping someone off in the neighborhood. The guy just rented the bike and rode off. I definitely would like to rent one in the future. "
uberUK,UK,1,09/23/2018,Be careful of confusing price structure!,On the surface this is one of those things that seems amazing and is a great way to see NYC but make sure you read the fine print before you sign up.It's advertised as $12 to hire a bike for a day but like many others what I didn't do is read the fine print and then got hit with unexpected and overpriced fees. We had 2 bikes out for 5 hours and this cost us almost $100! The system is purposely confusing and misleading (evident by the many reviews you can find on the net) so people get hit making the same mistake we did.At its core it's a great idea but at these insane prices it would be almost as cheap taking a taxi everywhere.
C4392VUchris,"London, United Kingdom",1,09/21/2018,Totally misleading information and a complete Rip Off!!,"Totally misleading information at the docking station and a complete Rip Off!! A fee for day hire, that is a fee for a days bike hire! Actually no.. Plus a fee for every minute after 30 mins! Confused? - We certainly were. The fact is that we could not re dock the bikes within 30 mins as there were not any docking spaces available at numerous docking stations in Red Hook, Brooklyn, NY therefore we could not avoid additional charges. You end up cycling around trying to get rid of the bikes, very frustrating, meanwhile every minute is costing you money. We ended up cycling back to the original docking station, hungry, frustrated and much poorer, don't use, take a bus, train, cab or walk! We used the 4 bikes for two hours, we only wanted them for 20 mins, it has cost over a $135.00!!I raised a complaint with the operators, had a 'Dear John' reply back.. Replied to them, checked on progress, informed by the operator the complaint is closed! Terrible customer service. All in all a terrible experience."
Berry785,"New York City, New York",5,09/19/2018,Great way to see NYC ,"My boyfriend and I just moved to Nyc, and biking around has been a fun way to gain our bearings. I would normally not have any interest in biking in the heat, but wanted to check out the electric bikes. After taking the bikes out a couple times we both got hooked, and just bought annual passes! With fall coming I can’t wait to bike around the different parks. "
631markrider,"Huntington, New York",5,09/16/2018,Visit Staff at plaza hotel fountain,Visit the staff in front of the plaza hotel and they'll show you how to use the bikes and give you an easy to read map. The entrance to central park is right there and once in the park you don't have to worry about cars. I did it today and with a bad back it was easy and the staff makes sure you won't have extra fees.It's hard to understand that some people think for $12 you get to take a bike to your hotel or wherever for 24 hours. Yes you have to return it every 30 minutes but there are stations everywhere a tourist would want to go and the staff make sure you know how to use the bike.
motorbodies,"Collingwood, Canada",4,09/16/2018,Easy transport,"Used the bikes for Central Park. Lot cheaper than the rental places, but you have to return them every 30 minutes. No big deal. Make sure you know where to switch bikes ahead of time or you may go over the time limit (we were close once). The kid at the kiosk outside CP was really helpful getting us started."
AriaLance,,5,09/13/2018,Best thing to do in NYC! ,"We just bought day passes from one of the guys selling passes in front of the Plaza Hotel. We went all over NYC... with bike lanes and CitiBike stations literally everywhere, there couldn’t have been a simpler experience. I would definitely recommend biking Central Park, biking to the Met from there, biking along the piers, and across the Brooklyn Bridge. We had the best day! I’m shocked at some of the reviews below. People seem to be complaining when they themselves don’t dock a bike correctly. The light turns green when you dock it right. Very easy. "
Rayanna85,,5,09/12/2018,Love Citi Bike :) Annual pass is amazing!,"I was going to buy a day pass but the nice guy with the citi bike hat let me know about the annual membership and 45 minute rides. I’m only here in New York for 2 months but it will actually save me money. I would be spending the same amount of cash at bike rentals companies for just 4 trips, but now I have UNLIMITED rides throughout the city! Thank you Citibike - best way to explore NYC :) "
avab896,,1,09/12/2018,Don’t give them your credit card info,"I rented a bike last week in Central Park with them which was fine; this was supposed to be a one time rental for an hour and was charged 3.27$. But now after two weeks there is another charge of 9.80$ for some sort of membership. I call this scam and abusing customer credit card information to sign them up involuntary for membership. Some of us have a super busy full time job and don’t have time to call and cancel unwanted charges, etc This is unprofessional"
Julia v,,1,09/06/2018,Terrible,"What a waste of money. After changing the bike 3 times we couldn’t take out all again. The office told me we hadn’t put one back properly. So you can just wait until someone brings it back. We waited 5 hours in which we could not use the bikes we paid for. Then it worked again, we used them and put ir back. Then again the same problem, although we checked on each to put it back properly. The lady on the phone let me feel like an idiot, told me we don’t know how to put the bikes back properly. We couldn’t use them till the next morning.I was very upset because I know we put them back properly and it didn’t work at all. Furthermore they purchased me 120$, the time someone else used the bike. Which should, if you call and tell that you’re not using the bike by yourseld should be stopped.In all I paid 4 bikes and a lot more and didn’t use them plus the customer service is very unfriendly. What a waste of money!!! Do NOT use them!!"
NoMoreMarriott,"Fayetteville, North Carolina",5,09/05/2018,Super Easy Fun!,The first day in NYC I walked everywhere but there is so much to see. I decided to try out Citibike so I could get around faster. It was great! Super easy and there are spots to park everywhere. I will do this again next time I visit the city-great bargain too!
katiebh2018,"Tulsa, Oklahoma",4,09/02/2018,Needs option for kids,"My older teen and I used this service and it was pretty fabulous. The price was good and it was relatively easy to learn the system. However it was hard to figure out how to rent two bikes because the app thinks it doesn’t offer that functionality yet. At the kiosk station near one of the checkouts it said, “do you want to rent another bike?” So it seems a little dumb the brain does not know what the hand is doing. Also it would be great to have some sort of indicator on the bike of how long you’ve rented it because checking a phone while riding is obviously dangerous. We have younger children who were not with me so it would be great if there were an option for kids to ride. Understandably that’s not their market but as one of the more legitimate rentals out-of-towners would appreciate that."
313billi,,4,08/27/2018,"Inexpensive, Easy to use, access and return","We used the bike to go around Central Park. This is a perfect application. Other vendors charge $15.00/hour. Citi Bikes is much less. These bike are easy to access and return. The bikes are a three speed bike so it is difficult to find the sweet spot for cycling in changing terrain. The bike seems to have more drag in the power train system than what it should be. This maybe connected to the generator to power the LED light around the bike.Having said that, they are perfect for use around the park. You can access them right outside the park, bike around the park, return the bike and be on your way."
MrVisittheworld,,3,08/21/2018,A perfect way of seeing real Manhattan,"A different but best way to visit all parts of NYC without using buses, subways and taxis. If you are flexible and an average biker, this is the way to go. We used the bikes with young kids however this is not really allowed, we have seen afterwards. Only from 18 years onwards."
William D,"Hartford, Connecticut",1,08/18/2018,Rip Off in NYC,What a rip off. The kiosk says $12.00 a day but I wish I read the reviews first. Many people had the same unfortunate experience as I. I definitely would NOT use again. As like buying a used car read the fine print! I called customer service and was told they are not for recreational use. In NYC??? Really?? Now as I see in previous reviews the manager will add some stupid response. Don’t rent use them AND the seats are set at the wrong angle. I kept sliding forward.
Arch C,"Northport, New York",5,08/16/2018,Best way to see the city - in multiple jumps,"Riding a bike in Manhattan takes away traffic frustrations and gives an intimacy with neighborhoods that you don’t get from a car/bus. I started at the tip of Manhattan. First hop was short, to the 9/11 memorial and the Oculus. Wow.Then up the west side bike path with all the great views. Another hop got me into and across Central Park. My route is not the key, the point is that I was able to do a segmented trip around Manhattan hitting many of my favorite spots. Just keep an eye on your watch so that you dodge the extra charge for going over 30 minutes. There are so many more docking stations than when I first used the system years ago. It’s amazing how easy and fun it has become. "
outlawsvg,"Toronto, Canada",1,08/13/2018,BE AWARE OF THIS COMPANY... Deceptive day pass,"There is NO SUCH THING AS A DAY PASS, I was billed $94 for 2 bikes for under 3 hrsBike rentals are in 30 min increments ONLY if you go over 30 min you pay for each additional 15 min, Boycott them"
YvetteTan,"Singapore, Singapore",1,08/09/2018,Waste of Money!!,"We rented Citiibike day pass to ride in Central Park and Hudson River. Eventually, despite the day pass $13 (with tax), we got charged an additional $48 pp for riding more than 30 mins per trip! I wish Citibike can be stated more clearly on their app about the extra charge while selecting the day pass ride! What make it worse will be the customer service lady, she will make you feel like an idiot of not reading terms and condition when you approached them... I believed I am not the only one who suffered, wish they have a much better customer service representative! It's just sooooo bad! Other than that, it's very easy to locate a bike, lock and unlock a bike..."
sccape,"New York City, New York",2,08/04/2018,buyer beware,"It is impossible to get out of a membership once signed up. Even if you move out of town with proof (most places accept this and are courteous enough to stop charging you for something you can't use). Bikes are very heavy. Rides are limited in time, eg 30-45 minutes. No guarantee there will be a bike at the station you are hoping for. Can turn into an awkward thing trying to swipe a bike much like taxis sometimes. A nice thought to have a bike share program in NYC but it needs some improvement here."
ketml,"santa fe, nm",1,08/04/2018,Waste of time and money,"We wanted to rent these seemingly nice bikes to ride through Central Park. I used the kiosk to buy the tickets for a ""24 hour rental"", only to find out after about the every 30 minute dock requirement unless you want to be charged more incrementally bases upon how far over the 30 minutes you go. Why on earth would we rent bikes for a 24 hour period and have to come back every 30 minutes?! Then the ""ambassadors"" showed up to the desk and told us of the alternative. Shouldn't one be there at all times to advise people? He said we could call the number on the kiosk to see if we could cancel that. Called, explained, denied. Terrible customer service on the call, and also there with the ambassador. By this time we had already wasted 20 of the 30 minutes so we docked the bikes and went elsewhere. Waste of $24 and our time. We just wanted to ride for an hour or two through the park, which no matter what we wouldn't have been able to do with the ridiculous 30-minute time limit. I saw the response about keeping availability of the bikes, but any time we passed by any of these rentals, they were always at least 3/4 full. I'd really like to get my $24 back. Because of this, I would not recommend. There are many other rental options for a flat time period and rate."
gcodoni597,"San Juan, Puerto Rico",4,07/31/2018,NYC,"The experience was really good! I just don't like that I had to change bikes during each 30 minute ride because I have to be really aware of this every 20 minutes or so because If not I'll be charge. Nevertheless, it is great!"
Keith F,"Long Beach, California",3,07/26/2018,Deceptive,"I enjoyed exploring the city on Citi Bike. We rode all the way from Central Park North to the South Street Seaport. However, my displeasure stems from the lack of information regarding having to dock the bike every 30 minutes to avoid additional charges. And yes, it's about $4/15 minutes! And no, you cannot get through Central Park north to south or south to north within half an hour... unless you don't want to stop to enjoy the sights within the park.But once we reached the Citi Bike Ambassador at Central Park South(across from The Plaza Hotel), we better understood the program and how it worked. The Ambassadors offer discount options if you download the app."
Ls2636,"New York City, New York",1,07/22/2018,Awful customer service and system,"My boyfriend and I tried three times before finally being able to find a station that functioned. One of the bikes’ tire blew out and we had to walk the bikes to a station nearby. If that isn’t bad enough, by chance, we returned the bikes we were finally able to rent at one of the stations that wasn’t functioning earlier in the night. We watched both bikes light turn green to signify they were docked, only to be told hours later that one didn’t dock. At 11pm at a night, after docking the bikes at 7:50, we were told our only option was to go back to the docking station and “redock” the bike, after being told by the agent they saw us attempting to dock the bike in the system. I have never in my life experienced a more flawed system, nor a more worthless customer service team. There was zero responsibility taken by the customer service team for the blown tire (poor service and maintenance), the non-functioning docking system (again, poor service and maintenance), or the way we were spoken to by the agents. I will NEVER rent a CitiBike again, or recommend to anyone."
WRLDTraveler2018,"Tampa, Florida",3,07/18/2018,Great experience but be can get costly,"My girlfriend and I went to New York in July and used the Citi Bike program. We got a one day pass (24 hours). The downside of the bike program is that you only have 30 minutes to use the bikes before they charge outrageous fees. The app works well for finding bikes and docks, but be mindful of the amount of time you have the bikes checked out so you don't get charged extra."
Royston C,,1,07/14/2018,Ride at central park a waste of money + time,The cocept of docking every 30 mins if not you get charged is ridiculous. You end up wasting more money and time riding around central park than walking.
angeliquevancamp,"Hamilton, New Zealand",1,07/12/2018,DON'T HIRE TO RIDE CENTRAL PARK,Just been pinged for a further USD38 because we didn't dock the bikes within the 30 minute time frame - there is no way you can ride central park like this so don't do it...pay a little extra and hire bikes from another operator. I feel totally ripped off as it wasn't clearly stated. I will never support them again as it's not at all tourist friendly.
124andrean,"Mira Mesa, California",1,07/09/2018,Be careful! It will cost more than you thought,"Be careful with the day pass! If you don't dock the bike after 30 minutes, they will double charge you for 2 days! Customer service is terrible! Don't even try this or you will cost you more money than taking Uber or taxi!"
285toby,"Brooklyn, New York",1,07/09/2018,dissapointed,"I loved my biking experience. my husband and I biked around twice. once by the brooklyn bridge park and once by long Island city park. it was wonderful. we were very careful to hit the biking station every 25minutes not to incur any unnecessary charges. later in the week as i was looking through my bank statement I saw a $4.36 fee. I called customer service and was told that i locked the bikes in at 32minutes. I asked to speak to an advisor so maybe she can do something on my behalf because it was really not intentional and it was my first time using those bikes and i wanted to really be positive about the experience. Also, I was maybe a minute late, but im human and its hard to hit the second mark, so it was so frusterating that i wasnt helped and after the phone call i felt so horrible the way i was treated by the supervisor. I mean, I might not have been a minute late, it just sometimes takes time until the bike gets locked into place which may have taken up these crucial few seconds to be charged extra. The woman I spoke to on the phone was pretty rude to me. I wish there would be someone i could speak to other than her to explain myself and to get a more understanding and helpful response.So overall my biking experience was great, but customer service and the supervisor was really mean to me."
ITravl4Fun,"Madisonville, Louisiana",4,07/02/2018,Convenient and easy,"We were in Manhattan for 3 days so I got the 3 da pass for $24. I found it easy and convenient to use. As some of the previous reviews stated, you will need to redock every 30 min on long rides. This just means you need to plan your route in advance. Get the app, set a 20 minute timer on your phone and you shouldn’t have any problems. There are lots of docks all over the city. I had no problems. One word of warning... take bags off bike before racking or at least make sure the straps of said bags aren’t locked in the rack with the bike. Enough said. "
Peter S,New York,3,07/02/2018,Good Service until there is a problem,"App would not work twice in a week. Customer Service basically said tough luck. When it works, it is very good. However, now it seems I can not rely upon it. They also often run out of bikes."
208juliusm,"Nut Tree, California",3,07/01/2018,Learning curve ,"They are fun to ride around the city, but you are limited to 30 minute rides. You need to plan for that and it takes getting used to but we made it work with just my wife and me. For example, to get from Midtown near Central Park to Washington Square, 30 minutes isn’t enough time if you obey traffic signals. Over 30 minutes it just keeps charging your credit card overage fees of $4 at 15 minute increments.Go figure a bank gets into bike rentals and figures out a way to charge you extra fees!!!But just like your credit and bank accounts if you keep close tabs and a nice cushion you can avoid extra fees. But sometimes crap happens even to the best of us and you get dinged. What sucks is if the place you planned to stop doesn’t have any empty docks. You can get a 15 minute extension to find another station but it is still inconvenient and it just kind of sucks. Most of the busy tourist places have a few dock stations within a few blocks but it still ruins your mojo.The other scenario that sucks is when you need to dock and there are no other bikes at that station. You don’t want to be a jerk but you also don’t want to give up the bike if you are trying to get somewhere. There is a 2 minute waiting period until you can check a bike out again, specifically so if someone is waiting they can take it. Fine if you are in a cool place but shady if it is dark out and you aren’t so sure about your surroundings. So you look at the app and try to stretch it to a station with more bikes...hope you make it on time!!!Overall, I would use it again but it might not be for everyone. "
Gene S,"Bainbridge Island, Washington",1,06/18/2018,"My wife and I got a one-day bike rental, it was, indeed, a trap",They say $12 for the day but if you don't put one of the bikes back within 2 hours (i.e. 2 hours and 32 minutes) you get a second charge of $39.20. Its a trick and outrageous...giving cycling in NYC a bad name.
Roz M,,5,06/17/2018,Works for me,Citibikes are to go from place to place. Easier and faster than walking. It’s a form of transportation versus a bike tour. It’s excellent for short rides. 
PopPrincesa,"London, United Kingdom",1,06/14/2018,"You will regret this, it’s a trap","For $12 a day, you are better off riding via Metro or walking. Only realised the mistake when I saw the credit card statement back home. Loved NY but the Citibike experience was the only one I truly regret taking part."
Philippo M,,1,06/10/2018,Absolute Joke,"My girlfriend and I rented the bike in Harlem and drove down the entire Central Park. There wasn't any advise at the citi bike station, that you have to bring it back within 30 minutes. So we have to pay 35 dollars now! I WOULD NEVER RECOMMEND THIS COMPANY FOR RENTING A BIKE. Better try out others!"
Marioncoburn,"Christchurch, New Zealand",1,06/01/2018,Rip off,We used the bikes for one day. We were very aware of the 30 minutes time frame. 1st ride was 35 min and 2nd was 26 min. Was expecting an additional charge of $4 but got charged $26! No response from my email to Citibikes! 
adambP1878SF,"Paris, France",1,06/01/2018,"If the city cared about the environment, bikes would be affordable","One would think with all the problems NYC has with traffic and public transportation that it would do whatever it could to make alternative, efficient modes of transit affordable and available. This would be great if it were actually affordable."
Timothy M,,3,05/31/2018,Beware of learning curve and finicky hardware,"This is a good deal monetarily, but it takes a bit of patience and awareness. You must dock your bike every 30 minutes or get charged $4 per extra 15 minutes. We used full day use option, a good deal. To dock correctly, roll front tire into the docking station, and lift the rear of the bike by the seat until the lights on the docking kiosk light up and the kiosk shudders. Otherwise it will not register as being docked, and you will be charged. Plan your bike trip so you can easily reach another kiosk within 30 minutes. Once you get the hang of it, it generally works well. Any problems, call the Help number."
tobybeavers,"Largo, Florida",1,05/30/2018,CITI bike SCAM!,"Rented a bike for 24 hours. Just noticed a bill for $53...We called CITI Bike customer service... Some woman who was VERY well aware of this scam charge said I was supposed to dock my bike every 30 mins!!!!!!!!! ""Can I help you with anything else?""...WTF? They know this is a scam!!!! But refuse to refund. I even got a notice my 24What a joke! What a scam. Who wants to dock their damn bike every 30 mins. Ridiculous!"
